id,subscription_contract_id,created_at,completed_at,error_code,error_message,idempotency_key,next_action_url,ready,order_id
43384143919,19347013679,2025-03-11T08:05:10Z,2025-03-11T08:05:16Z,,,716f09878af96402,,True,5791428378671
46546157615,19347013679,2025-04-11T08:05:30Z,2025-04-11T08:05:36Z,,,9b38bdbf090e93a7,,True,5830217433135
69732532271,31398592559,2025-09-16T08:08:56Z,2025-09-16T08:08:57Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,63a8c8b0b17d2831,,True,
69732302895,31397281839,2025-09-16T08:08:54Z,2025-09-16T08:08:54Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,891a6ffefe88c69b,,True,
69732630575,31399018543,2025-09-16T08:08:57Z,2025-09-16T08:08:57Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,9b6bb3e729e9b569,,True,
38079037487,17104404527,2025-01-09T08:03:33Z,2025-01-09T08:03:33Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,3025de2a5d6d9e9d,,True,
36164108335,17104404527,2024-12-15T08:04:40Z,2024-12-15T08:04:42Z,,,2fa9e179d8d00ed7,,True,5691865595951
36211294255,17104404527,2024-12-16T08:03:58Z,2024-12-16T08:04:01Z,,,c7ced28f289fbf50,,True,5692963881007
36310974511,17104404527,2024-12-17T08:03:33Z,2024-12-17T08:03:35Z,,,3da9d72c39dfd539,,True,5694205558831
36372480047,17104404527,2024-12-18T08:04:23Z,2024-12-18T08:04:26Z,,,276e38ac162cead9,,True,5695328649263
36452466735,17104404527,2024-12-19T08:03:19Z,2024-12-19T08:03:22Z,,,b28d21acb4471cba,,True,5696450887727
36522065967,17104404527,2024-12-20T08:03:48Z,2024-12-20T08:03:51Z,,,8aaa58c2cc152f75,,True,5697503002671
36599627823,17104404527,2024-12-21T08:03:27Z,2024-12-21T08:03:29Z,,,8094d52a50703942,,True,5698664595503
36645044271,17104404527,2024-12-22T08:03:31Z,2024-12-22T08:03:33Z,,,d5200df21bcda7be,,True,5699613163567
36686168111,17104404527,2024-12-23T08:03:46Z,2024-12-23T08:03:48Z,,,e0c2a7fccab10cea,,True,5700489379887
36793090095,17104404527,2024-12-24T08:03:22Z,2024-12-24T08:03:24Z,,,ab877fba775962c3,,True,5701518426159
36856365103,17104404527,2024-12-25T08:05:38Z,2024-12-25T08:05:41Z,,,b36e9dc49b1f31ad,,True,5702263537711
36936089647,17104404527,2024-12-26T08:04:24Z,2024-12-26T08:04:26Z,,,e87550ec84971cc9,,True,5703206436911
37006114863,17104404527,2024-12-27T08:03:53Z,2024-12-27T08:03:55Z,,,0d82260c3e9cad8b,,True,5704343552047
37087117359,17104404527,2024-12-28T08:03:54Z,2024-12-28T08:03:54Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,27c22e0d32208e59,,True,
37140332591,17104404527,2024-12-29T08:04:31Z,2024-12-29T08:04:31Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,655adbe1bcba3356,,True,
37185749039,17104404527,2024-12-30T08:04:24Z,2024-12-30T08:04:24Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,fa58bfacef2f1dd3,,True,
37311414319,17104404527,2024-12-31T08:01:18Z,2024-12-31T08:01:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,fe411c8a61353c0e,,True,
37430034479,17104404527,2025-01-01T08:12:26Z,2025-01-01T08:12:26Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,86ce20d15c0654e5,,True,
37507596335,17104404527,2025-01-02T08:05:35Z,2025-01-02T08:05:36Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,3036de4e0c06aea6,,True,
37597675567,17104404527,2025-01-03T08:04:22Z,2025-01-03T08:04:23Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,806644f7664b7272,,True,
37693816879,17104404527,2025-01-04T08:03:36Z,2025-01-04T08:03:36Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,e006b86ded91b15a,,True,
37746409519,17104404527,2025-01-05T08:04:11Z,2025-01-05T08:04:12Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,8e61717ac5d9d0a0,,True,
37793234991,17104404527,2025-01-06T08:06:18Z,2025-01-06T08:06:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,17c484c1de348d97,,True,
37911625775,17104404527,2025-01-07T08:03:33Z,2025-01-07T08:03:34Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,13314cffdf9f0f92,,True,
37983125551,17104404527,2025-01-08T08:03:58Z,2025-01-08T08:03:58Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,f985369657f3c4ef,,True,
38157156399,17104404527,2025-01-10T08:03:48Z,2025-01-10T08:03:48Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,34ee4de2eeb941fa,,True,
38242811951,17104404527,2025-01-11T08:03:27Z,2025-01-11T08:03:27Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,e4b8be62e228ec97,,True,
38290128943,17104404527,2025-01-12T08:03:56Z,2025-01-12T08:03:57Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,0c20322c716c0919,,True,
38335643695,17104404527,2025-01-13T08:03:31Z,2025-01-13T08:03:31Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,0d9f8aca6d39c754,,True,
38440599599,17104404527,2025-01-14T08:03:34Z,2025-01-14T08:03:34Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,c64fc58d1561c6d1,,True,
38505938991,17104404527,2025-01-15T08:05:21Z,2025-01-15T08:05:21Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,3fffdc46d943f0e4,,True,
38600114223,17104404527,2025-01-16T08:04:27Z,2025-01-16T08:04:27Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,c1e2a43ec2e2438d,,True,
38680297519,17104404527,2025-01-17T08:04:33Z,2025-01-17T08:04:33Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,eb6242d212f42665,,True,
38762283055,17104404527,2025-01-18T08:04:41Z,2025-01-18T08:04:41Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,a7e5f010ab8f85b7,,True,
38813761583,17104404527,2025-01-19T08:03:59Z,2025-01-19T08:03:59Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,97033baf1372b2e7,,True,
38862127151,17104404527,2025-01-20T08:04:31Z,2025-01-20T08:04:32Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,3df3031b6e01ea37,,True,
38973767727,17104404527,2025-01-21T08:04:20Z,2025-01-21T08:04:20Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,4ac96d746299fbcc,,True,
39039074351,17104404527,2025-01-22T08:04:48Z,2025-01-22T08:04:48Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,2414d1ecbdd1e705,,True,
39128367151,17104404527,2025-01-23T08:04:18Z,2025-01-23T08:04:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,62ac7da86b48b6df,,True,
39202783279,17104404527,2025-01-24T08:04:06Z,2025-01-24T08:04:07Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,0dc8591307db21b0,,True,
39287521327,17104404527,2025-01-25T08:06:02Z,2025-01-25T08:06:02Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,509d1edb4d16137c,,True,
39337295919,17104404527,2025-01-26T08:04:57Z,2025-01-26T08:04:57Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,59bf15d002d9a653,,True,
39393460271,17104404527,2025-01-27T08:04:29Z,2025-01-27T08:04:29Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,f236ab886412b048,,True,
39514505263,17104404527,2025-01-28T08:04:36Z,2025-01-28T08:04:36Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,69a2e5752cf01351,,True,
39609368623,17104404527,2025-01-29T08:05:50Z,2025-01-29T08:05:50Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,7291f204b8a73ff1,,True,
39725400111,17104404527,2025-01-30T08:05:01Z,2025-01-30T08:05:01Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,64aa737318977b13,,True,
39809777711,17104404527,2025-01-31T08:02:58Z,2025-01-31T08:02:58Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,b0c29ad0db902670,,True,
39932362799,17104404527,2025-02-01T08:11:32Z,2025-02-01T08:11:32Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,1a8f0269b9fdfc87,,True,
40003174447,17104404527,2025-02-02T08:06:09Z,2025-02-02T08:06:09Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,dbb50746aca964c8,,True,
40065826863,17104404527,2025-02-03T08:04:56Z,2025-02-03T08:04:56Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,ae0714a829508704,,True,
40212594735,17104404527,2025-02-04T08:04:18Z,2025-02-04T08:04:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,36e810283a21e88b,,True,
40289140783,17104404527,2025-02-05T08:05:38Z,2025-02-05T08:05:38Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,7aed465d9b07ec1d,,True,
40393539631,17104404527,2025-02-06T08:03:56Z,2025-02-06T08:03:57Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,a368affe97c68dde,,True,
40478408751,17104404527,2025-02-07T08:04:18Z,2025-02-07T08:04:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,000060c0de578de6,,True,
40578220079,17104404527,2025-02-08T08:04:20Z,2025-02-08T08:04:20Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,055eafc79d3d3607,,True,
40637038639,17104404527,2025-02-09T08:03:52Z,2025-02-09T08:03:52Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,ab67d0522964c72e,,True,
40685535279,17104404527,2025-02-10T08:04:26Z,2025-02-10T08:04:26Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,52b5d39b1f567c68,,True,
40816574511,17104404527,2025-02-11T08:04:01Z,2025-02-11T08:04:01Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,f1ed5ef48309070f,,True,
40890138671,17104404527,2025-02-12T08:05:01Z,2025-02-12T08:05:02Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,559ba521e34c5780,,True,
40987885615,17104404527,2025-02-13T08:05:40Z,2025-02-13T08:05:40Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,430ebbaa6cae812a,,True,
41073541167,17104404527,2025-02-14T08:04:15Z,2025-02-14T08:04:15Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,e1f671fc9b627867,,True,
41176465455,17104404527,2025-02-15T08:05:18Z,2025-02-15T08:05:18Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,ee85c76cd24e8aea,,True,
41236561967,17104404527,2025-02-16T08:04:50Z,2025-02-16T08:04:51Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,00ed3acc7e05334e,,True,
41287811119,17104404527,2025-02-17T08:04:34Z,2025-02-17T08:04:34Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,ef8a1960d314608b,,True,
41412263983,17104404527,2025-02-18T08:04:58Z,2025-02-18T08:04:58Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,b9cd5c628c621f3a,,True,
41485369391,17104404527,2025-02-19T08:04:52Z,2025-02-19T08:04:52Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,2c98fdda09316792,,True,
41583018031,17104404527,2025-02-20T08:05:05Z,2025-02-20T08:05:05Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,cb3628e02b158876,,True,
41667723311,17104404527,2025-02-21T08:04:32Z,2025-02-21T08:04:32Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,05b8dfc02da82dc5,,True,
41758523439,17104404527,2025-02-22T08:03:51Z,2025-02-22T08:03:51Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,39bbba0d1595e325,,True,
41813114927,17104404527,2025-02-23T08:04:12Z,2025-02-23T08:04:12Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,3444134ecd1a6e04,,True,
41863151663,17104404527,2025-02-24T08:03:41Z,2025-02-24T08:03:41Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,08b0e85e841e00c0,,True,
41999073327,17104404527,2025-02-25T08:06:04Z,2025-02-25T08:06:06Z,,,d9889813ac537bb3,,True,5766191546415
42065264687,17104404527,2025-02-26T08:05:32Z,2025-02-26T08:05:34Z,,,fed2f1b28644a7b1,,True,5767242416175
42169106479,17104404527,2025-02-27T08:04:17Z,2025-02-27T08:04:19Z,,,5f198f3028796bc6,,True,5768450965551
42333601839,17104404527,2025-02-28T08:12:39Z,2025-02-28T08:12:41Z,,,e86ecc7d8f3cfb3a,,True,5769621897263
42430660655,17104404527,2025-03-01T08:18:12Z,2025-03-01T08:18:14Z,,,3a1398b0d1b453df,,True,5770734993455
42506321967,17104404527,2025-03-02T08:06:30Z,2025-03-02T08:06:32Z,,,690adca8ac5cd88a,,True,5771803361327
42567958575,17104404527,2025-03-03T08:05:07Z,2025-03-03T08:05:09Z,,,f059ee49784dd652,,True,5772857999407
42723639343,17104404527,2025-03-04T08:04:26Z,2025-03-04T08:04:28Z,,,bbd0ee013e69f7e2,,True,5774050328623
42805428271,17104404527,2025-03-05T08:05:52Z,2025-03-05T08:05:54Z,,,e8a9fb2759d49066,,True,5775110340655
42945347631,17104404527,2025-03-06T08:16:15Z,2025-03-06T08:16:17Z,,,73f6ce565f4e5294,,True,5784675024943
43019403311,17104404527,2025-03-07T08:04:36Z,2025-03-07T08:04:38Z,,,5df1ec76238d1681,,True,5786036633647
43140743215,17104404527,2025-03-08T08:04:06Z,2025-03-08T08:04:08Z,,,7b9fa0f4ce4a8fa8,,True,5787594522671
43202641967,17104404527,2025-03-09T08:10:22Z,2025-03-09T08:10:24Z,,,127c54b8fdf87175,,True,5788856942639
43257561135,17104404527,2025-03-10T08:04:19Z,2025-03-10T08:04:19Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,9eab472493d5ae74,,True,
43383980079,17104404527,2025-03-11T08:03:51Z,2025-03-11T08:03:51Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,70f0dfe4b5bd837b,,True,
69732106287,31395381295,2025-09-16T08:08:52Z,2025-09-16T08:08:52Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,1c3da4c70c2fde49,,True,
69732139055,31396331567,2025-09-16T08:08:52Z,2025-09-16T08:08:53Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,1b490029b139fdb7,,True,
69732171823,31396528175,2025-09-16T08:08:53Z,2025-09-16T08:08:53Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,6dc78d1bdcef4f6d,,True,
69732204591,31396757551,2025-09-16T08:08:53Z,2025-09-16T08:08:53Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,e3fe42cbe24881e8,,True,
69732368431,31397838895,2025-09-16T08:08:55Z,2025-09-16T08:08:55Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,a2d75bf8279ebf20,,True,
